,Date,Lambda,Mu,Delta,MeanSpread,Volatility
0,1/10,0.005326645356705254,0.07872955824551985,0.14843691239582768,38.0429172510519,0.0005495917962980548
1,4/10,0.004868242292395368,0.10957497078599644,0.1461544977235813,47.15006483555346,0.0006941882899169536
2,5/10,0.0032813726902345885,0.12803955315043783,0.1606105207288648,71.28600777753319,0.0005835581507425148
3,6/10,0.0016431912393676587,0.08949901706360226,0.1678496248516796,151.2275723703067,0.0017515062199032442
4,7/10,0.0020168519955176276,0.13289748953974895,0.13015630088556243,126.51283388377078,0.0010036489581852542
5,8/10,0.00240462203732901,0.10039851035465258,0.14055087847239084,93.74254495788753,0.0009645043313751549
6,11/10,0.0033792890630621655,0.1154348393836511,0.16385343857924614,71.08870281010502,0.0005037612731891741
7,12/10,0.005353896290377349,0.101977300066368,0.14208062189817494,44.29276269017489,0.00032069754309731966
8,13/10,0.005562344432314922,0.08689278132648416,0.14635882788799653,46.91454208802165,0.0003757446859979946
9,14/10,0.004334895786118067,0.11951765881177646,0.16070362813435388,54.766883886255904,0.000496678844683294
10,15/10,0.0037330371193187075,0.09279782164737917,0.16217645123384253,63.129774072081766,0.0005613941151624161
11,18/10,0.0023327267141520737,0.07737999978661887,0.16299501503818423,94.79870387514879,0.0010562427018512622
12,19/10,0.003201270305813732,0.08382995951417005,0.15329700745647568,71.42106638787246,0.0006158089733989082
13,20/10,0.003948885309640079,0.09257052939192986,0.17773667693094727,52.202386751095965,0.0004838463032950954
14,21/10,0.0043815272088201076,0.09026530626846875,0.16878998694703068,48.62171398527865,0.0010344259192809218
15,22/10,0.0034044707728918253,0.09631804833973347,0.22799589076905588,51.922166321396865,0.0005995663658723559
16,25/10,0.004736634377723486,0.08172629109600857,0.18435547730175178,36.204312865497066,0.0002466177018520499
17,26/10,0.0042220788952765315,0.07988141184862496,0.1370193544532172,44.240255591054314,0.0002713367020121045
18,28/10,0.005713608967713837,0.08299149997885567,0.1737668860772196,37.21204224386231,0.0005955275282969811
19,29/10,0.004757822883162025,0.11223904266085195,0.1487693894589246,43.61042793900639,0.0005042325814823393
